ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152813-261920-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CH2Cl2
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:28:13.261920
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
707,606.01,2292.07,1160.67
708,606.12,2295.15,1165.00
709,606.24,2298.22,1165.67
710,606.35,2301.29,1170.67
711,606.46,2304.35,1147.33
712,606.57,2307.42,1163.33
713,606.69,2310.49,1162.67
714,606.80,2313.55,1177.33
715,606.91,2316.62,1165.67
716,607.03,2319.68,1167.00
717,607.14,2322.74,1158.67
718,607.25,2325.80,1168.33
719,607.36,2328.85,1160.67
720,607.48,2331.91,1171.00
721,607.59,2334.97,1176.00
722,607.70,2338.02,1169.67
723,607.81,2341.07,1161.33
724,607.93,2344.13,1162.00
725,608.04,2347.18,1168.33
726,608.15,2350.22,1173.33
727,608.27,2353.27,1157.00
728,608.38,2356.32,1161.33
729,608.49,2359.36,1160.00
730,608.60,2362.41,1166.33
731,608.72,2365.45,1159.00
732,608.83,2368.49,1156.00
733,608.94,2371.53,1150.00
734,609.05,2374.57,1167.67
735,609.17,2377.61,1182.00
736,609.28,2380.64,1182.00
737,609.39,2383.68,1161.67
738,609.51,2386.71,1145.33
739,609.62,2389.75,1146.67
740,609.73,2392.78,1156.67
741,609.84,2395.81,1173.67
742,609.96,2398.84,1180.00
743,610.07,2401.86,1167.33
744,610.18,2404.89,1192.67
745,610.29,2407.91,1199.67
746,610.41,2410.94,1208.00
747,610.52,2413.96,1192.33
748,610.63,2416.98,1222.67
749,610.74,2420.00,1247.33
750,610.86,2423.02,1251.67
751,610.97,2426.03,1240.33
752,611.08,2429.05,1232.33
753,611.19,2432.07,1249.33
754,611.31,2435.08,1241.00
755,611.42,2438.09,1249.00
756,611.53,2441.10,1214.33
757,611.65,2444.11,1197.33
758,611.76,2447.12,1183.00
759,611.87,2450.13,1195.67
760,611.98,2453.13,1205.33
761,612.10,2456.14,1221.67
762,612.21,2459.14,1185.67
763,612.32,2462.14,1169.67
764,612.43,2465.14,1150.67
765,612.55,2468.14,1188.00
766,612.66,2471.14,1195.00
767,612.77,2474.13,1177.33
768,612.88,2477.13,1151.33
769,613.00,2480.12,1152.67
770,613.11,2483.12,1160.67
771,613.22,2486.11,1160.00
772,613.33,2489.10,1163.67
773,613.45,2492.09,1170.00
774,613.56,2495.08,1168.67
775,613.67,2498.06,1190.33
776,613.78,2501.05,1196.67
777,613.90,2504.03,1199.33
778,614.01,2507.02,1168.33
779,614.12,2510.00,1178.00
780,614.23,2512.98,1188.00
781,614.34,2515.96,1204.33
782,614.46,2518.93,1196.00
783,614.57,2521.91,1195.33
784,614.68,2524.89,1179.67
785,614.79,2527.86,1165.67
786,614.91,2530.83,1162.67
787,615.02,2533.80,1171.33
788,615.13,2536.77,1177.33
789,615.24,2539.74,1166.33
790,615.36,2542.71,1176.00
791,615.47,2545.68,1165.67
792,615.58,2548.64,1174.67
793,615.69,2551.61,1161.33
794,615.81,2554.57,1167.67
795,615.92,2557.53,1148.67
796,616.03,2560.49,1147.33
797,616.14,2563.45,1161.33
