TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/19
TIME	12:51:05
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  200.0000
NPOINTS	    3501
FIRSTY	    -0.00292
MAXY	     2.34215
MINY	    -0.00739
XYDATA
748.2000	-0.00421682
748.0000	-0.00424456
747.8000	-0.00465392
747.6000	-0.00466378
747.4000	-0.00437749
747.2000	-0.00428245
747.0000	-0.00435569
746.8000	-0.0043213
746.6000	-0.00420773
746.4000	-0.0044389
746.2000	-0.00445357
746.0000	-0.00439186
745.8000	-0.00437755
745.6000	-0.00436448
745.4000	-0.00437683
745.2000	-0.00433021
745.0000	-0.00441301
744.8000	-0.00450228
744.6000	-0.00447365
744.4000	-0.00426333
744.2000	-0.00430217
744.0000	-0.00420696
743.8000	-0.00421943
743.6000	-0.00422335
743.4000	-0.00404921
743.2000	-0.00437238
743.0000	-0.0042306
742.8000	-0.00399159
742.6000	-0.00394752
742.4000	-0.00413575
742.2000	-0.00433567
742.0000	-0.00419775
741.8000	-0.00438723
741.6000	-0.00443855
741.4000	-0.0041459
741.2000	-0.00396492
741.0000	-0.00378644
740.8000	-0.00376981
740.6000	-0.00405081
740.4000	-0.00397947
740.2000	-0.00408562
740.0000	-0.00391444
739.8000	-0.00403946
739.6000	-0.0039765
739.4000	-0.00390832
739.2000	-0.00404226
739.0000	-0.00411609
738.8000	-0.00414519
738.6000	-0.00410539
738.4000	-0.00409043
738.2000	-0.00414994
738.0000	-0.00386252
737.8000	-0.00375044
737.6000	-0.00396415
737.4000	-0.00410379
737.2000	-0.00417756
737.0000	-0.00403157
736.8000	-0.00379018
736.6000	-0.00372544
736.4000	-0.00373429
736.2000	-0.00385082
736.0000	-0.00397074
735.8000	-0.00368327
735.6000	-0.00353555
735.4000	-0.00370732
735.2000	-0.00372627
735.0000	-0.00344265
734.8000	-0.0034379
734.6000	-0.00355592
734.4000	-0.00353923
734.2000	-0.00353757
734.0000	-0.00361282
733.8000	-0.0039332
733.6000	-0.00392911
733.4000	-0.0035302
733.2000	-0.00337714
733.0000	-0.00350615
732.8000	-0.00339187
732.6000	-0.00334441
732.4000	-0.00336383
732.2000	-0.00347508
732.0000	-0.00367584
731.8000	-0.00358657
731.6000	-0.00358954
731.4000	-0.00353311
731.2000	-0.00367198
731.0000	-0.00365802
730.8000	-0.00339021
730.6000	-0.00345661
730.4000	-0.00341985
730.2000	-0.00351434
730.0000	-0.00364894
729.8000	-0.00349314
729.6000	-0.00347425
729.4000	-0.00365196
729.2000	-0.00353579
729.0000	-0.00339009
728.8000	-0.00344022
728.6000	-0.00341907
728.4000	-0.00324296
728.2000	-0.0032201
728.0000	-0.0033677
727.8000	-0.00332582
727.6000	-0.00317757
727.4000	-0.00319931
727.2000	-0.00336354
727.0000	-0.00346772
726.8000	-0.00345222
726.6000	-0.00318131
726.4000	-0.00313938
726.2000	-0.00338344
726.0000	-0.00350045
725.8000	-0.0033927
725.6000	-0.00328864
725.4000	-0.00324528
725.2000	-0.00312215
725.0000	-0.00331323
724.8000	-0.00346528
724.6000	-0.00321891
724.4000	-0.00296463
724.2000	-0.00286497
724.0000	-0.00317501
723.8000	-0.00326144
723.6000	-0.00313326
723.4000	-0.00314431
723.2000	-0.00297925
723.0000	-0.00300265
722.8000	-0.00288296
722.6000	-0.00293488
722.4000	-0.00309928
722.2000	-0.00288291
722.0000	-0.00268428
721.8000	-0.00272705
721.6000	-0.00293678
721.4000	-0.0030058
721.2000	-0.0029211
721.0000	-0.00282868
720.8000	-0.00287501
720.6000	-0.00300793
720.4000	-0.00291931
720.2000	-0.00274386
720.0000	-0.00277415
719.8000	-0.0028326
719.6000	-0.00287322
719.4000	-0.0027533
719.2000	-0.00269581
719.0000	-0.00282
718.8000	-0.0027767
718.6000	-0.00258955
718.4000	-0.00256959
718.2000	-0.00270359
718.0000	-0.00253265
717.8000	-0.00253134
717.6000	-0.00279043
717.4000	-0.00273388
717.2000	-0.00257494
717.0000	-0.00239069
716.8000	-0.0023244
716.6000	-0.00241451
716.4000	-0.00254447
716.2000	-0.00247604
716.0000	-0.00241492
715.8000	-0.00244925
715.6000	-0.00219385
715.4000	-0.00222486
715.2000	-0.00237406
715.0000	-0.00231627
714.8000	-0.00229875
714.6000	-0.0023263
714.4000	-0.00239538
714.2000	-0.00239705
714.0000	-0.00229358
713.8000	-0.00213986
713.6000	-0.00200889
713.4000	-0.00227891
713.2000	-0.00237952
713.0000	-0.00228372
712.8000	-0.00230136
712.6000	-0.00230961
712.4000	-0.0022934
712.2000	-0.00224012
712.0000	-0.00218245
711.8000	-0.00194219
711.6000	-0.00204893
711.4000	-0.00211462
711.2000	-0.00197225
711.0000	-0.00189652
710.8000	-0.00183979
710.6000	-0.00178449
710.4000	-0.00179216
710.2000	-0.00190685
710.0000	-0.00177855
709.8000	-0.00180968
709.6000	-0.00197718
709.4000	-0.0019195
709.2000	-0.00170568
709.0000	-0.00153331
708.8000	-0.00170021
708.6000	-0.00175361
708.4000	-0.00167295
708.2000	-0.00191035
708.0000	-0.00192223
707.8000	-0.00174797
707.6000	-0.00171055
707.4000	-0.00163814
707.2000	-0.00171791
707.0000	-0.0016932
706.8000	-0.0015083
706.6000	-0.0014362
